Theme,granularity,2018,CAGR,predicted_size
Discovery,overall,$887.60,9%,$970.23
Functional ingredients,overall,$536.23,8%,$580.61
Healthy Aging,overall,$180.94,3%,$187.04
Natural Flavors,overall,"$2,736.39",5%,"$2,872.32"
personalized nutrition,overall,$87.54,20%,$105.42
Protein,overall,$508.22,5%,$532.30
snacking,overall,$127.25,4%,$132.34
Sports nutrition,overall,$32.36,1%,$32.69
sugar reduction,overall,$363.16,14%,$413.77
sustainability,overall,$623.03,25%,$776.65
